# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
89600 87.5 0.000218497018965893 0.000218497018965231 0.00021849701896522
90112 88 0.000219964876572076 0.000219964876572434 0.000219964876571353
90624 88.5 0.000221840031309209 0.0002218400313102 0.000221840031309842
91136 89 0.000223588387840591 0.000223588387840385 0.000223588387841265
91648 89.5 0.000224789475289657 0.000224789475288306 0.000224789475288944
92160 90 0.000225571309387493 0.00022557130938695 0.000225571309386625
92672 90.5 0.000226362625156873 0.000226362625157608 0.000226362625157073
93184 91 0.000227372777953439 0.000227372777954194 0.000227372777953937
93696 91.5 0.000228460596155439 0.000228460596155467 0.000228460596155247
94208 92 0.000229455565714031 0.000229455565713461 0.000229455565713526
94720 92.5 0.00023038740446682 0.00023038740446618 0.000230387404466918
95232 93 0.000231308116323694 0.000231308116323695 0.000231308116324124
95744 93.5 0.000232081603826685 0.000232081603827109 0.000232081603826545
96256 94 0.000232568676256323 0.000232568676256373 0.000232568676255985
96768 94.5 0.000232946641147923 0.00023294664114797 0.000232946641148362
97280 95 0.000233590987005942 0.000233590987006461 0.000233590987006641
97792 95.5 0.000234582895056009 0.000234582895055986 0.000234582895055544
98304 96 0.000235540072183558 0.000235540072182604 0.000235540072182061
98816 96.5 0.000236079310071904 0.000236079310071468 0.000236079310071316
99328 97 0.000236320326032791 0.000236320326033494 0.000236320326033798
99840 97.5 0.000236732452501144 0.000236732452501666 0.00023673245250192
100352 98 0.000237495269077334 0.000237495269077026 0.000237495269077008
100864 98.5 0.000238234426697399 0.000238234426697221 0.000238234426697333
101376 99 0.000238538513044346 0.00023853851304452 0.000238538513044589
101888 99.5 0.000238563643571343 0.00023856364357112 0.000238563643570528
102400 100 0.000238827052173787 0.000238827052173416 0.000238827052172735
102912 100.5 0.00023945956803112 0.000239459568031402 0.00023945956803172
103424 101 0.000240049603183279 0.000240049603183864 0.000240049603184516
103936 101.5 0.000240301986145204 0.000240301986145315 0.000240301986144973
104448 102 0.000240479260356921 0.000240479260356959 0.000240479260357572
104960 102.5 0.000240944391127123 0.000240944391127884 0.000240944391128192
105472 103 0.000241470345167435 0.000241470345167062 0.000241470345167003
105984 103.5 0.000242074949675134 0.0002420749496743 0.000242074949673987
106496 104 0.00024256103870444 0.0002425610387047 0.000242561038704381
107008 104.5 0.000242795844075818 0.000242795844075884 0.000242795844076385
107520 105 0.000242913057940523 0.000242913057939635 0.000242913057940376
108032 105.5 0.000243157398111008 0.000243157398111071 0.000243157398110511
108544 106 0.000243601591630444 0.00024360159163173 0.000243601591630668
109056 106.5 0.000244082552114974 0.000244082552115395 0.000244082552115464
109568 107 0.000244381733529012 0.000244381733528074 0.00024438173352868
110080 107.5 0.000244441857586795 0.000244441857586243 0.000244441857586154
110592 108 0.00024443387352607 0.000244433873526883 0.00024443387352622
111104 108.5 0.000244594519955174 0.00024459451995589 0.000244594519955701
111616 109 0.000244954903669171 0.000244954903668589 0.000244954903669313
112128 109.5 0.000245289045592467 0.000245289045592079 0.000245289045592485
112640 110 0.000245395161787273 0.000245395161788075 0.000245395161787168
113152 110.5 0.000245357470990765 0.00024535747099113 0.00024535747099036
113664 111 0.000245420961774831 0.000245420961773927 0.000245420961774791
114176 111.5 0.000245654214768752 0.000245654214768257 0.000245654214769255
114688 112 0.000245882260782245 0.000245882260782982 0.000245882260782578
115200 112.5 0.000245944927634653 0.000245944927635267 0.000245944927634442
115712 113 0.000245885036799834 0.000245885036799381 0.00024588503679929
116224 113.5 0.000245854636933603 0.00024585463693292 0.000245854636933358
116736 114 0.000245931115708588 0.000245931115708878 0.000245931115708968
117248 114.5 0.000246065852719325 0.00024606585272031 0.000246065852719659
117760 115 0.000246165289306935 0.000246165289307046 0.000246165289306862
118272 115.5 0.000246190738328861 0.000246190738327998 0.000246190738328978
118784 116 0.000246188851572644 0.000246188851572256 0.000246188851572722
119296 116.5 0.000246227709229232 0.000246227709229472 0.000246227709228769
119808 117 0.000246300815403355 0.00024630081540327 0.000246300815403244
120320 117.5 0.000246320205663688 0.000246320205663535 0.000246320205664195
120832 118 0.000246233925171914 0.000246233925172396 0.000246233925171838
121344 118.5 0.000246115291933493 0.000246115291933827 0.000246115291932788
121856 119 0.000246065503169579 0.000246065503169002 0.000246065503169382
122368 119.5 0.000246052400422566 0.00024605240042229 0.000246052400423009
122880 120 0.000245958171815694 0.000245958171816542 0.000245958171815789
123392 120.5 0.000245790772089604 0.000245790772090182 0.000245790772089264
123904 121 0.000245703087430307 0.000245703087429737 0.000245703087430388
124416 121.5 0.000245750638084191 0.00024575063808375 0.00024575063808479
124928 122 0.00024577547985302 0.000245775479853376 0.000245775479853306
125440 122.5 0.000245625447591529 0.00024562544759145 0.000245625447590859
125952 123 0.000245372410131854 0.00024537241013115 0.000245372410131038
126464 123.5 0.000245197527278007 0.000245197527278108 0.000245197527278408
126976 124 0.000245138740257508 0.000245138740258298 0.000245138740258539
127488 124.5 0.000245075072833063 0.00024507507283327 0.000245075072833178
128000 125 0.000244924231079065 0.000244924231078857 0.000244924231078327
128512 125.5 0.00024472942151172 0.00024472942151178 0.00024472942151119
129024 126 0.000244538544720436 0.000244538544720274 0.000244538544720356
129536 126.5 0.000244320293338524 0.000244320293337863 0.000244320293338492
130048 127 0.00024406077106631 0.000244060771066156 0.000244060771066382
130560 127.5 0.00024383192231526 0.000243831922316065 0.000243831922315696
131072 128 0.0002436674127656 0.000243667412766034 0.000243667412765912
131584 128.5 0.000243467542978984 0.000243467542978201 0.000243467542978736
132096 129 0.000243142084637402 0.000243142084636816 0.000243142084637225
132608 129.5 0.000242763643866952 0.000242763643867416 0.000242763643867128
133120 130 0.000242456743478504 0.000242456743478747 0.000242456743478459
133632 130.5 0.00024219982197086 0.00024219982197047 0.000242199821970808
134144 131 0.000241865035477963 0.000241865035478147 0.000241865035478456
134656 131.5 0.000241427283113218 0.0002414272831137 0.000241427283113456
135168 132 0.000241009581919577 0.000241009581919259 0.000241009581919097
135680 132.5 0.000240694479596403 0.000240694479595959 0.00024069447959609
136192 133 0.000240395647731595 0.000240395647731841 0.000240395647731666
136704 133.5 0.000239991237520662 0.000239991237520893 0.000239991237520789
137216 134 0.000239501985106816 0.000239501985106637 0.000239501985107167
137728 134.5 0.000239028674504693 0.000239028674504426 0.000239028674504806
138240 135 0.000238576879494711 0.000238576879494515 0.000238576879494427
138752 135.5 0.00023807772831782 0.000238077728317987 0.000238077728318245
139264 136 0.000237545998529531 0.000237545998529935 0.00023754599853051
139776 136.5 0.000237073549784834 0.000237073549784705 0.000237073549784507
140288 137 0.000236658147523855 0.000236658147523655 0.000236658147522341
140800 137.5 0.000236167427333658 0.000236167427334265 0.000236167427333473
141312 138 0.000235527702187012 0.000235527702187413 0.000235527702188322
141824 138.5 0.000234850619656442 0.000234850619655649 0.000234850619656582
142336 139 0.000234285251692266 0.000234285251691638 0.000234285251690926
142848 139.5 0.000233809096212306 0.000233809096213187 0.000233809096212256
143360 140 0.000233265693527647 0.000233265693528558 0.000233265693529161
143872 140.5 0.000232579163775718 0.000232579163775039 0.000232579163775719
144384 141 0.00023183569676837 0.000231835696767665 0.00023183569676715
144896 141.5 0.000231148856402794 0.000231148856403352 0.000231148856403395
145408 142 0.000230521772322591 0.000230521772322731 0.00023052177232386
145920 142.5 0.000229875281062179 0.000229875281061365 0.000229875281061458
146432 143 0.000229159656670301 0.000229159656670318 0.000229159656669207
146944 143.5 0.000228388728382743 0.000228388728383629 0.000228388728383048
147456 144 0.000227591081382604 0.000227591081382831 0.00022759108138288
147968 144.5 0.000226777435517445 0.000226777435517033 0.000226777435517135
148480 145 0.000225951510011037 0.00022595151001092 0.000225951510011199
148992 145.5 0.000225115604775493 0.000225115604775577 0.00022511560477588
149504 146 0.000224263107431213 0.000224263107430933 0.000224263107431029
150016 146.5 0.000223379263960089 0.000223379263959896 0.000223379263959793
150528 147 0.000222446326375357 0.000222446326375744 0.000222446326375459
151040 147.5 0.000221456309537027 0.00022145630953738 0.000221456309537409
151552 148 0.000220434742183044 0.000220434742182868 0.000220434742183399
152064 148.5 0.000219432557867075 0.000219432557866827 0.000219432557866966
152576 149 0.000218464944501738 0.0002184649445016 0.000218464944501171
153088 149.5 0.000217472583610042 0.0002174725836098 0.000217472583609825
