# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
168960 165 2.76183624378345e-05
169472 165.5 2.81606375725119e-05
169984 166 2.87148459112707e-05
170496 166.5 2.92814519181525e-05
171008 167 2.98609557724874e-05
171520 167.5 3.04538807823047e-05
172032 168 3.10607817632195e-05
172544 168.5 3.16822427502787e-05
173056 169 3.23188499752718e-05
173568 169.5 3.29711910372689e-05
174080 170 3.36399286209436e-05
174592 170.5 3.4325776081564e-05
175104 171 3.50293048763253e-05
175616 171.5 3.57509974615013e-05
176128 172 3.64913035250017e-05
176640 172.5 3.72507090053389e-05
177152 173 3.80297806613874e-05
177664 173.5 3.88290662703969e-05
178176 174 3.96490362058445e-05
178688 174.5 4.04901303429183e-05
179200 175 4.13528398101985e-05
179712 175.5 4.22377053375572e-05
180224 176 4.31452231843007e-05
180736 176.5 4.40757858155337e-05
181248 177 4.50297594026708e-05
181760 177.5 4.60075967833321e-05
182272 178 4.700982051916e-05
182784 178.5 4.80368920052281e-05
183296 179 4.90891540693599e-05
183808 179.5 5.01669415086943e-05
184320 180 5.12707117461714e-05
184832 180.5 5.24008525744373e-05
185344 181 5.35575938158955e-05
185856 181.5 5.47412406085193e-05
186368 182 5.59521923600433e-05
186880 182.5 5.71909647413301e-05
187392 183 5.84581310718593e-05
187904 183.5 5.97541858590217e-05
188416 184 6.10795231697847e-05
188928 184.5 6.24345495268732e-05
189440 185 6.38197691009793e-05
189952 185.5 6.5235722797574e-05
190464 186 6.66828837524064e-05
190976 186.5 6.81616560814946e-05
191488 187 6.96724578518162e-05
192000 187.5 7.12157675432565e-05
192512 188 7.27920904737004e-05
193024 188.5 7.44019054015836e-05
193536 189 7.60456840777162e-05
194048 189.5 7.77239479987517e-05
194560 190 7.94372440358335e-05
195072 190.5 8.11861716413903e-05
195584 191 8.29714871548572e-05
196096 191.5 8.47940529109422e-05
196608 192 8.66546912271285e-05
197120 192.5 8.85542530545861e-05
197632 193 9.04934958823718e-05
198144 193.5 9.24730207659111e-05
198656 194 9.44933869774124e-05
199168 194.5 9.65552096109575e-05
199680 195 9.86591001312422e-05
200192 195.5 0.000100805456398256
200704 196 0.000102994295599669
201216 196.5 0.000105225368602378
201728 197 0.000107498457027809
202240 197.5 0.000109813472749058
202752 198 0.000112170216739306
203264 198.5 0.000114568227946756
