# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
25088 24.5 2495.44878376712 2523.65017437983 37.4960770606995 35.3443439006805 31.7492699623108 0 5.74912786483765 147 331794.870289676 331794.870289676 11727072 11727072 162902.896604317 162902.896604317 5757696 5757696 724.924280330915 1005271.60579652 14803.0025270645 990468.603269452 4170 5777308 85276 5692032 0 0 0 0 37.1299910545349 1717451755.66789 31577
25600 25 2497.23632682433 2523.11516759756 38.1915740966797 36.0398409366608 32.3930103778839 0 5.84410357475281 150 332032.542014563 332032.542014563 11966400 11966400 163019.587415093 163019.587415093 5875200 5875200 729.146079104923 997450.106696621 14928.1794937276 982521.927202893 4268 5792619 86763 5705856 0 0 0 0 37.8178765773773 1717451756.36338 32216
26112 25.5 2495.44262478102 2522.48930359649 38.9387941360474 36.7870609760284 33.0818274021149 0 5.8594958782196 153 331794.051390885 331794.051390885 12205728 12205728 162902.494545705 162902.494545705 5992704 5992704 732.461049359521 989225.697054604 15025.8664591921 974199.830595412 4294 5794071 88215 5705856 0 0 0 0 38.5574164390564 1717451757.1106 32855
26624 26 2491.77946678183 2521.88331891548 39.7152500152588 37.5635168552399 33.7177670001984 0 6.15581917762756 156 331306.997903313 331306.997903313 12445056 12445056 162663.363591518 162663.363591518 6110208 6110208 732.640674257204 985314.336891117 14923.2602702249 970391.076620892 4476 6220646 89702 6130944 0 0 0 0 39.3255043029785 1717451757.88706 33494
27136 26.5 2481.82138531963 2520.95085378729 40.5912439823151 38.4395108222961 34.4223277568817 0 6.17259240150452 159 329982.971392098 329982.971392098 12684384 12684384 162013.300033666 162013.300033666 6227712 6227712 729.139420220288 1008587.04716207 14742.4598870463 993844.587275023 4502 6222097 91153 6130944 0 0 0 0 40.1909911632538 1717451758.76305 34133
27648 27 2471.31653076426 2519.88870031431 41.4829959869385 39.3312628269196 35.2401340007782 0 6.29518985748291 162 328586.245930416 328586.245930416 12923712 12923712 161327.543128291 161327.543128291 6345216 6345216 730.434215926767 997710.667608548 14807.6315326101 982903.036075938 4600 6237410 92642 6144768 0 0 0 0 41.073744058609 1717451759.65481 34772
28160 27.5 2464.50668663677 2518.68046945313 42.32204413414 40.1703109741211 36.0138654708862 0 6.31062293052673 165 327680.809055225 327680.809055225 13163040 13163040 160882.996503649 160882.996503649 6462720 6462720 732.699602648216 988978.488567741 14883.0597565183 974095.428811223 4626 6238862 94094 6144768 0 0 0 0 41.9041707515717 1717451760.49385 35411
28672 28 2459.66828203091 2517.55788594781 43.1328690052032 40.9811358451843 36.6630291938782 0 6.58659815788269 168 327037.49477883 327037.49477883 13402368 13402368 160567.145450978 160567.145450978 6580224 6580224 730.466307948987 982126.016300643 14742.559751331 967383.456549312 4808 6665436 95580 6569856 0 0 0 0 42.7071118354797 1717451761.30468 36050
29184 28.5 2454.53494322451 2516.25698307426 43.9519121646881 41.8001790046692 37.3536288738251 0 6.60048413276672 171 326354.966051131 326354.966051131 13641696 13641696 160232.041093696 160232.041093696 6697728 6697728 732.008582700342 1010364.92465118 14673.2105507001 995691.714100484 4834 6666882 97026 6569856 0 0 0 0 43.5190811157227 1717451762.12372 36689
29696 29 2450.80415457396 2515.00762516514 44.7499961853027 42.5982630252838 38.098527431488 0 6.69303798675537 174 325858.920392154 325858.920392154 13881024 13881024 159988.495210588 159988.495210588 6815232 6815232 735.476656519566 1003290.88912471 14781.3969574184 988509.492167295 4932 6682199 98519 6583680 0 0 0 0 44.3087873458862 1717451762.92181 37328
30208 29.5 2441.93578920827 2513.52075258739 45.641820192337 43.4900870323181 38.93732380867 0 6.70856046676636 177 324679.782533131 324679.782533131 14120352 14120352 159409.568319516 159409.568319516 6932736 6932736 738.907103010537 996859.513010062 14879.7156849887 981979.797325073 4958 6683650 99970 6583680 0 0 0 0 45.1915345191956 1717451763.81363 37967
30720 30 2438.844620642 2512.19421663822 46.4349970817566 44.2832639217377 39.6140649318695 0 6.91964912414551 180 324268.780760561 324268.780760561 14359680 14359680 159207.77683551 159207.77683551 7050240 7050240 741.54087577073 996782.382612111 14845.0384456142 981937.344166497 5140 7110226 101458 7008768 0 0 0 0 45.976907491684 1717451764.60681 38606
31232 30.5 2427.38922961352 2510.45299679789 47.3855171203613 45.2337839603424 40.4559991359711 0 6.93179273605347 183 322745.671969414 322745.671969414 14599008 14599008 158459.968909171 158459.968909171 7167744 7167744 744.929158366881 1026256.66258744 14820.0784284473 1011436.58415899 5166 7111671 102903 7008768 0 0 0 0 46.9193727970123 1717451765.55733 39245
31744 31 2427.49422337119 2509.12585229453 48.1250660419464 45.9733328819275 41.1383104324341 0 7.02952694892883 186 322759.631939434 322759.631939434 14838336 14838336 158466.822901672 158466.822901672 7285248 7285248 747.700405161965 1018805.20771455 14912.6441260012 1003892.56358855 5264 7126982 104390 7022592 0 0 0 0 47.6495199203491 1717451766.29688 39884
32256 31.5 2411.19283536481 2506.90653496368 49.1823971271515 47.0306639671326 42.1235570907593 0 7.06130504608154 189 320592.199390105 320592.199390105 15077664 15077664 157402.668292615 157402.668292615 7402752 7402752 748.848248826685 1009829.9385239 14965.0650043616 994864.87351954 5290 7128437 105845 7022592 0 0 0 0 48.6976528167725 1717451767.35421 40523
32768 32 2406.60708683552 2505.18719891065 50.0199542045593 47.8682210445404 42.8488254547119 0 7.27790522575378 192 319982.47826565 319982.47826565 15316992 15316992 157103.310628623 157103.310628623 7520256 7520256 751.625049280378 1010129.681489 14939.0707846766 995190.610704327 5472 7555011 107331 7447680 0 0 0 0 49.5151586532593 1717451768.19176 41162
33280 32.5 2402.20584069392 2503.37972773544 50.856968164444 48.705235004425 43.5686733722687 0 7.29085683822632 195 319397.288578664 319397.288578664 15556320 15556320 156815.997280499 156815.997280499 7637760 7637760 753.811441038081 1036765.96727569 14897.3117987169 1021868.65547697 5498 7556465 108785 7447680 0 0 0 0 50.3548517227173 1717451769.02878 41801
33792 33 2401.29592782235 2501.79177426561 51.6250190734863 49.4732859134674 44.2773525714874 0 7.41205835342407 198 319276.306563259 319276.306563259 15795648 15795648 156756.598168243 156756.598168243 7755264 7755264 756.158434584438 1029298.21296905 14981.0827655357 1014317.13020351 5596 7571781 110277 7461504 0 0 0 0 51.1132507324219 1717451769.79683 42440
