# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
1470464 359 -2.11993846293159e-06 -2.13302385440014e-06 -2.15050523249683e-06
1470976 359.125 -2.10866320102198e-06 -2.12162909385236e-06 -2.13938678811738e-06
1471488 359.25 -2.09739384271385e-06 -2.11022240274031e-06 -2.12830613965754e-06
1472000 359.375 -2.08609896004887e-06 -2.09876881418513e-06 -2.11721697323233e-06
1472512 359.5 -2.07478973121499e-06 -2.08725370103118e-06 -2.1060447306852e-06
1473024 359.625 -2.06349690751538e-06 -2.07572707089727e-06 -2.09481802028696e-06
1473536 359.75 -2.05221192449924e-06 -2.06424254793817e-06 -2.08362496094002e-06
1474048 359.875 -2.04087664721171e-06 -2.05276467808556e-06 -2.07244809329524e-06
1474560 360 -2.02944372436125e-06 -2.04120714981018e-06 -2.06117716909186e-06
1475072 360.125 -2.01793276671831e-06 -2.0295438534726e-06 -2.04976727635613e-06
1475584 360.25 -2.00639956910804e-06 -2.01783596367012e-06 -2.03829917715671e-06
1476096 360.375 -1.99488584125622e-06 -2.00616525226146e-06 -2.02688525843233e-06
1476608 360.5 -1.98342253268753e-06 -1.99455702066041e-06 -2.01555151856285e-06
1477120 360.625 -1.97200005533447e-06 -1.98295279586237e-06 -2.00422611214332e-06
1477632 360.75 -1.96051787297227e-06 -1.97125620229928e-06 -1.99281561951486e-06
1478144 360.875 -1.94887103963467e-06 -1.95941833708871e-06 -1.98126915889245e-06
1478656 361 -1.93709387012959e-06 -1.94747786684772e-06 -1.96960778591768e-06
1479168 361.125 -1.92532273025476e-06 -1.93551453483916e-06 -1.95790319776642e-06
1479680 361.25 -1.91362846101444e-06 -1.92357369765707e-06 -1.94619839612993e-06
1480192 361.375 -1.9019575919263e-06 -1.91164352330861e-06 -1.93448442531076e-06
1480704 361.5 -1.89021772090842e-06 -1.89969095698658e-06 -1.92275639772489e-06
1481216 361.625 -1.8783681880206e-06 -1.88769442353777e-06 -1.91100624799727e-06
1481728 361.75 -1.86643785058651e-06 -1.87563866356946e-06 -1.89917846318495e-06
1482240 361.875 -1.85447950468442e-06 -1.86350606977892e-06 -1.88722206340158e-06
1482752 362 -1.84250898330357e-06 -1.85128720440914e-06 -1.87515659477851e-06
1483264 362.125 -1.83049829446181e-06 -1.83898979297041e-06 -1.86303730544474e-06
1483776 362.25 -1.81843202351792e-06 -1.82664192117643e-06 -1.85089377560355e-06
1484288 362.375 -1.80633750844768e-06 -1.81428858386238e-06 -1.83872063039438e-06
1484800 362.5 -1.79423639601494e-06 -1.80195404073514e-06 -1.82650993147216e-06
1485312 362.625 -1.782094658728e-06 -1.7896016875456e-06 -1.81427851510448e-06
1485824 362.75 -1.76984582811622e-06 -1.77716290343818e-06 -1.80202476683804e-06
1486336 362.875 -1.75745091547987e-06 -1.7645984554953e-06 -1.7896740098949e-06
1486848 363 -1.74493398180614e-06 -1.75190998948353e-06 -1.77715323841563e-06
1487360 363.125 -1.73236963574094e-06 -1.73912332618277e-06 -1.76450393847683e-06
1487872 363.25 -1.71982344259781e-06 -1.72628606802062e-06 -1.75183149994745e-06
1488384 363.375 -1.70729846613755e-06 -1.71344792463216e-06 -1.73917839330228e-06
1488896 363.5 -1.69474622504692e-06 -1.70062157936881e-06 -1.72652283334913e-06
1489408 363.625 -1.68211265700804e-06 -1.68777609391337e-06 -1.7138341225414e-06
1489920 363.75 -1.66936243401148e-06 -1.67485727986746e-06 -1.701054937976e-06
1490432 363.875 -1.65648222439726e-06 -1.66180047001911e-06 -1.68810697614171e-06
1490944 364 -1.64348281647183e-06 -1.64856449165312e-06 -1.67497689904376e-06
1491456 364.125 -1.63040270498801e-06 -1.63519105100547e-06 -1.66173651610659e-06
1491968 364.25 -1.61815481848382e-06 -1.62179997351596e-06 -1.64846821275555e-06
1492480 364.375 -1.6070385147727e-06 -1.60849042240842e-06 -1.63523028178579e-06
1492992 364.5 -1.59573472477118e-06 -1.59525480550097e-06 -1.62204665975237e-06
