# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:05:52+0200
# parameter filename: "TOV_0_subgrid_2.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
# Run ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
27136 26.5 2200.463628987 2260.43213468607 45.5983939170837 43.3544998168945 38.8992726802826 0 6.7013201713562 159 292573.644110112 292573.644110112 12684384 12684384 143646.265700271 143646.265700271 6227712 6227712 671.43134763565 928762.860092822 13576.556802759 915186.303290064 4502 6222103 91159 6130944 0 0 0 0 45.1542053222656 1717520795.65874 34133
27648 27 2191.59135809336 2258.95770576268 46.5952279567719 44.3513338565826 39.8349740505219 0 6.81259346008301 162 291393.986972093 291393.986972093 12923712 12923712 143067.083856335 143067.083856335 6345216 6345216 674.530877573131 921351.63654749 13674.4863849765 907677.150162514 4600 6237411 92643 6144768 0 0 0 0 46.1408314704895 1717520796.65557 34772
28160 27.5 2197.68852480152 2257.94861093512 47.2912240028381 45.0473299026489 40.466771364212 0 6.82669734954834 165 292204.66625761 292204.66625761 13163040 13163040 143465.106899043 143465.106899043 6462720 6462720 677.270433945088 914161.813460247 13757.2938038443 900404.519656402 4626 6238863 94095 6144768 0 0 0 0 46.829555273056 1717520797.35157 35411
28672 28 2195.59024302695 2256.77911413516 48.1540999412537 45.9102058410645 41.2184257507324 0 7.05198097229004 168 291925.678712863 291925.678712863 13402368 13402368 143328.131064799 143328.131064799 6580224 6580224 681.404557102591 916161.40341253 13752.2319214986 902409.171491031 4808 6665435 95579 6569856 0 0 0 0 47.683741569519 1717520798.21444 36050
29184 28.5 2198.7140860012 2255.78000847909 48.9075329303741 46.6636388301849 41.8448767662048 0 7.06484127044678 171 292341.024874719 292341.024874719 13641696 13641696 143532.055534158 143532.055534158 6697728 6697728 683.878683561554 943932.96870684 13708.4402453546 930224.528461485 4834 6666882 97026 6569856 0 0 0 0 48.4292967319489 1717520798.96788 36689
29696 29 2202.23768822539 2254.92326112502 49.6502211093903 47.406327009201 42.534848690033 0 7.15864872932434 174 292809.523026448 292809.523026448 13881024 13881024 143762.076287354 143762.076287354 6815232 6815232 687.525502767974 937878.667017513 13817.4074673214 924061.259550192 4932 6682197 98517 6583680 0 0 0 0 49.1647005081177 1717520799.71057 37328
30208 29.5 2206.39050833457 2254.14079595625 50.3768060207367 48.1329119205475 43.2067818641663 0 7.17283320426941 177 293361.681988165 293361.681988165 14120352 14120352 144033.172384081 144033.172384081 6932736 6932736 690.932121262141 932136.050598304 13913.202776114 918222.84782219 4958 6683647 99967 6583680 0 0 0 0 49.8829400539398 1717520800.43715 37967
30720 30 2209.22063884402 2253.44208890803 51.1299121379852 48.886018037796 43.8567979335785 0 7.36513686180115 180 293737.976140701 293737.976140701 14359680 14359680 144217.923303738 144217.923303738 7050240 7050240 695.438000538392 934810.427681795 13921.8218158392 920888.605865956 5140 7110224 101456 7008768 0 0 0 0 50.6280682086945 1717520801.19026 38606
31232 30.5 2212.40369470482 2252.77694503958 51.8731729984283 49.6292788982391 44.4981009960175 0 7.37726902961731 183 294161.195247952 294161.195247952 14599008 14599008 144425.71319033 144425.71319033 7167744 7167744 699.925369991311 964257.297783029 13925.1521837926 950332.145599237 5166 7111674 102906 7008768 0 0 0 0 51.3640933036804 1717520801.93352 39245
31744 31 2215.01372377318 2252.20225017062 52.6273291110992 50.38343501091 45.1957213878632 0 7.47388553619385 186 294508.224712882 294508.224712882 14838336 14838336 144596.095887913 144596.095887913 7285248 7285248 702.943453765239 957820.200566293 14020.1156842856 943800.084882008 5264 7126983 104391 7022592 0 0 0 0 52.1085402965546 1717520802.68767 39884
32256 31.5 2216.80505985581 2251.64941554678 53.3985950946808 51.1547009944916 45.914101600647 0 7.48700952529907 189 294746.400758429 294746.400758429 15077664 15077664 144713.034307387 144713.034307387 7402752 7402752 706.260217102691 952399.384899218 14113.8475281201 938285.537371097 5290 7128436 105844 7022592 0 0 0 0 52.8714892864227 1717520803.45894 40523
32768 32 2207.91900321548 2250.8498097321 54.4197211265564 52.1758270263672 46.806009054184 0 7.71494030952454 192 293564.91066753 293564.91066753 15316992 15316992 144132.952529907 144132.952529907 7520256 7520256 707.933258936659 951411.076639629 14070.6660537819 937340.410585847 5472 7555011 107331 7447680 0 0 0 0 53.870858669281 1717520804.48007 41162
33280 32.5 2211.10864658174 2250.24868382508 55.1585259437561 52.9146318435669 47.4331822395325 0 7.72758293151855 195 293989.005649508 293989.005649508 15556320 15556320 144341.172448856 144341.172448856 7637760 7637760 711.165769491433 978112.468428921 14054.3908668606 964058.07756206 5498 7556464 108784 7447680 0 0 0 0 54.612380027771 1717520805.21887 41801
33792 33 2206.850273132 2249.47791083685 56.0762729644775 53.8323788642883 48.2937242984772 0 7.82874417304993 198 293422.812315631 293422.812315631 15795648 15795648 144063.185830057 144063.185830057 7755264 7755264 713.904947908968 971781.780567621 14143.82417946 957637.956388161 5596 7571780 110276 7461504 0 0 0 0 55.5211319923401 1717520806.13662 42440
