# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
23040 11.25 582.628335729224 528.983706820909 72.361988067627 69.5125820636749 65.9790623188019 0 6.38712191581726 135 332243.161084772 332243.161084772 23095080 23095080 239348.899236105 239348.899236105 16637760 16637760 600.664985129388 1251498.34329037 12628.2214727059 1238870.12181766 3838 7988434 80818 7907616 0 0 0 0 72.0006368160248 1717848927.20423 29021
23552 11.5 583.142302413976 530.090054926018 73.8440840244293 70.9946780204773 67.3988325595856 0 6.49263429641724 138 332536.250015678 332536.250015678 23608304 23608304 239560.041318794 239560.041318794 17007488 17007488 604.476027235106 1240974.23407419 12743.4903739619 1228230.74370022 3936 8007527 82343 7925184 0 0 0 0 73.4746491909027 1717848928.68632 29660
24064 11.75 583.847989739701 531.145281494468 75.2997710704803 72.4503650665283 68.7896726131439 0 6.51420140266418 141 332938.667429076 332938.667429076 24121528 24121528 239849.943944978 239849.943944978 17377216 17377216 607.978516137434 1230215.1883701 12847.4247429769 1217367.76362712 3962 8009033 83849 7925184 0 0 0 0 74.9227533340454 1717848930.14201 30299
24576 12 584.582347707505 532.174573259176 76.7483189105988 73.8989129066467 70.1299788951874 0 6.70812320709229 144 333357.434244263 333357.434244263 24634752 24634752 240151.624725778 240151.624725778 17746944 17746944 613.749065557418 1257321.92371848 12867.2748456105 1244454.64887287 4144 8653408 85360 8568048 0 0 0 0 76.3631176948547 1717848931.59056 30938
25088 12.25 585.026621270982 533.187535973034 78.2305910587311 75.3811850547791 71.5061974525452 0 6.72866463661194 147 333610.780750198 333610.780750198 25147976 25147976 240334.136254753 240334.136254753 18116672 18116672 619.535417463905 1287053.60019949 12879.5256601768 1274174.07453931 4170 8654868 86820 8568048 0 0 0 0 77.8377177715302 1717848933.07283 31577
25600 12.5 585.929633340245 534.142039859999 79.6504371166229 76.8010311126709 72.8623008728027 0 6.83024406433105 150 334125.722379349 334125.722379349 25661200 25661200 240705.10163958 240705.10163958 18486400 18486400 622.851376009004 1276465.09863268 12983.0923886115 1263482.00624407 4268 8673955 88339 8585616 0 0 0 0 79.2493977546692 1717848934.49267 32216
26112 12.75 587.022505234326 535.057630951362 81.0406160354614 78.1912100315094 74.1934468746185 0 6.85137319564819 153 334748.931362646 334748.931362646 26174424 26174424 241154.063128085 241154.063128085 18856128 18856128 626.536295398301 1266982.71887474 13089.9351096164 1253892.78376512 4294 8675458 89842 8585616 0 0 0 0 80.6319401264191 1717848935.88285 32855
26624 13 587.698387818685 535.994565467749 82.4820899963379 79.6326839923859 75.5222308635712 0 7.05190777778625 156 335134.352655397 335134.352655397 26687648 26687648 241431.721701585 241431.721701585 19225856 19225856 631.334617005858 1291378.57944362 13097.5352030958 1278281.04424052 4476 9319836 91356 9228480 0 0 0 0 82.0651655197144 1717848937.32433 33494
27136 13.25 588.042477466719 536.922930665534 83.9659950733185 81.1165890693665 76.8903412818909 0 7.07965087890625 159 335330.569394866 335330.569394866 27200872 27200872 241573.076787572 241573.076787572 19595584 19595584 635.700973025203 1317345.82764533 13087.5538472772 1304258.27379805 4502 9321295 92815 9228480 0 0 0 0 83.5414283275604 1717848938.80823 34133
27648 13.5 588.893213040633 537.793911094387 85.3771018981934 82.5276958942413 78.2392818927765 0 7.18214750289917 162 335815.700410628 335815.700410628 27714096 27714096 241922.56652343 241922.56652343 19965312 19965312 638.850516900038 1307296.20429186 13186.7993208807 1294109.40497098 4600 9340381 94333 9246048 0 0 0 0 84.9446330070496 1717848940.21934 34772
28160 13.75 589.781207352171 538.641299464972 86.7788350582123 83.9294290542603 79.5796763896942 0 7.20320963859558 165 336322.078180123 336322.078180123 28227320 28227320 242287.362479893 242287.362479893 20335040 20335040 642.019465442818 1297604.96054228 13281.551970528 1284323.40857175 4626 9341877 95829 9246048 0 0 0 0 86.3386442661285 1717848941.62107 35411
28672 14 587.341949296611 539.72176903413 88.6597249507904 85.8103189468384 81.2815449237823 0 7.47824740409851 168 334931.093984227 334931.093984227 28740544 28740544 241285.293588375 241285.293588375 20704768 20704768 640.537365949371 1308484.20134239 13166.3905793029 1295317.81076309 4808 9986257 97345 9888912 0 0 0 0 88.210263967514 1717848943.50196 36050
29184 14.25 584.16878656154 540.710727736091 90.6664910316467 87.8170850276947 83.1619391441345 0 7.50900387763977 171 333121.601460289 333121.601460289 29253768 29253768 239981.730130917 239981.730130917 21074496 21074496 643.609381665714 1330859.3437297 13137.4932811189 1317721.85044858 4834 9987715 98803 9888912 0 0 0 0 90.2084963321686 1717848945.50873 36689
29696 14.5 584.430607643226 541.429877027813 92.1671099662781 89.317703962326 84.597736120224 0 7.61580371856689 174 333270.904641208 333270.904641208 29766992 29766992 240089.288558572 240089.288558572 21444224 21444224 646.28859658586 1320805.02341839 13226.3251936209 1307578.69822477 4932 10006802 100322 9906480 0 0 0 0 91.7000370025635 1717848947.00935 37328
30208 14.75 585.198414129482 542.097747107036 93.5878610610962 90.7384550571442 85.9522480964661 0 7.64047694206238 177 333708.745436877 333708.745436877 30280216 30280216 240404.710288072 240404.710288072 21813952 21813952 648.801873922636 1310712.19119666 13307.5105391912 1297404.68065747 4958 10008304 101824 9906480 0 0 0 0 93.1137380599976 1717848948.4301 37967
30720 15 585.52924363577 542.787054650671 95.0736639499664 92.2242579460144 87.3110446929932 0 7.85786318778992 180 333897.40059525 333897.40059525 30793440 30793440 240540.617989962 240540.617989962 22183680 22183680 651.584192469099 1329532.93963617 13286.4947494816 1316246.44488669 5140 10652682 103338 10549344 0 0 0 0 94.5921559333801 1717848949.9159 38606
