# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
237056 231.5 -9.16787453715271e-07 -9.17326362118376e-07 -9.18327663776621e-07
237568 232 -9.16322880982869e-07 -9.16840444376964e-07 -9.17759629564011e-07
238080 232.5 -9.14759878328119e-07 -9.15319592421172e-07 -9.16250278186228e-07
238592 233 -9.11759844402123e-07 -9.12397594364701e-07 -9.13419034513542e-07
239104 233.5 -9.10250959583261e-07 -9.10796531267255e-07 -9.11837340379404e-07
239616 234 -9.09039567215816e-07 -9.09534256012786e-07 -9.10488538953841e-07
240128 234.5 -9.08345756760485e-07 -9.08706540747616e-07 -9.09744472314813e-07
240640 235 -9.06907072681947e-07 -9.07207639625672e-07 -9.08338471120172e-07
241152 235.5 -9.05279602366239e-07 -9.05602605858409e-07 -9.06582332828358e-07
241664 236 -9.03269712238997e-07 -9.03686209106238e-07 -9.04592990292268e-07
242176 236.5 -9.01804892991812e-07 -9.02298706546243e-07 -9.03259026402615e-07
242688 237 -9.01476297554277e-07 -9.02008981549161e-07 -9.03024675218029e-07
243200 237.5 -8.99562145366179e-07 -9.00081947810641e-07 -9.01049690829492e-07
243712 238 -8.96688943512202e-07 -8.97131184761012e-07 -8.98035855677635e-07
244224 238.5 -8.95735237029889e-07 -8.96174660950146e-07 -8.97109670407274e-07
244736 239 -8.96343742348721e-07 -8.96749706410983e-07 -8.97662165381409e-07
245248 239.5 -8.94257881187222e-07 -8.9459272385241e-07 -8.95478701629325e-07
245760 240 -8.89650765262031e-07 -8.89950500094449e-07 -8.90905793611139e-07
246272 240.5 -8.88625618324211e-07 -8.88976274378417e-07 -8.89916663780173e-07
246784 241 -8.8905535887604e-07 -8.89363837487484e-07 -8.90250748562257e-07
247296 241.5 -8.87120568688932e-07 -8.87439478619208e-07 -8.88261756858892e-07
247808 242 -8.83143091451775e-07 -8.83476144922494e-07 -8.84332185300984e-07
248320 242.5 -8.81727552869949e-07 -8.82093379960234e-07 -8.82955722899488e-07
248832 243 -8.80872144172478e-07 -8.81251986949125e-07 -8.8202048231507e-07
249344 243.5 -8.78549792010952e-07 -8.78929942799278e-07 -8.79630651000071e-07
249856 244 -8.76038844773959e-07 -8.76470757766919e-07 -8.77192600234189e-07
250368 244.5 -8.73973349230934e-07 -8.74486829871767e-07 -8.75238623877347e-07
250880 245 -8.72285679532094e-07 -8.72820266516617e-07 -8.73560733332295e-07
251392 245.5 -8.7033348000831e-07 -8.70833456840579e-07 -8.71517985108981e-07
251904 246 -8.67846241824819e-07 -8.68342378924778e-07 -8.68936893124991e-07
252416 246.5 -8.65798337671883e-07 -8.66355131945296e-07 -8.66886953199382e-07
252928 247 -8.6385685303313e-07 -8.64469266523331e-07 -8.65027285547025e-07
253440 247.5 -8.61563020430076e-07 -8.62145395863315e-07 -8.62791677868789e-07
253952 248 -8.59754749526621e-07 -8.60279344776597e-07 -8.60963817134454e-07
254464 248.5 -8.5741987018533e-07 -8.57978270529109e-07 -8.58587278872343e-07
254976 249 -8.5427074000416e-07 -8.54906026777631e-07 -8.55435231684274e-07
255488 249.5 -8.52959027500169e-07 -8.53595579135446e-07 -8.54151411008709e-07
256000 250 -8.52337414602453e-07 -8.52951188911319e-07 -8.5354212618592e-07
256512 250.5 -8.48879412210679e-07 -8.49529686925741e-07 -8.50063334059521e-07
