# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
61440 60 0.0012685147547496
61952 60.5 0.00126877713876771
62464 61 0.00126903959049827
62976 61.5 0.00126930000752879
63488 62 0.00126955454457927
64000 62.5 0.00126980037231794
64512 63 0.00127003777655303
65024 63.5 0.00127026822935578
65536 64 0.00127049054218042
66048 64.5 0.00127070610157674
66560 65 0.00127091937978126
67072 65.5 0.0012711280289871
67584 66 0.00127132954142578
68096 66.5 0.00127152216455174
68608 67 0.0012717091003943
69120 67.5 0.00127189320438944
69632 68 0.00127207427469693
70144 68.5 0.0012722519515468
70656 69 0.00127242083803525
71168 69.5 0.00127257107378704
71680 70 0.0012727024787692
72192 70.5 0.00127281805121825
72704 71 0.00127291946189254
73216 71.5 0.00127300704266604
73728 72 0.00127307611840887
74240 72.5 0.00127312164547484
74752 73 0.00127313986008872
75264 73.5 0.00127313423389573
75776 74 0.00127311228027418
76288 74.5 0.00127307660128234
76800 75 0.00127302015487103
77312 75.5 0.00127293920062782
77824 76 0.00127283991491978
78336 76.5 0.001272727561693
78848 77 0.00127260464023171
79360 77.5 0.00127247248318689
79872 78 0.00127233171664143
80384 78.5 0.0012721831435656
80896 79 0.00127202639262022
81408 79.5 0.00127186867177293
81920 80 0.0012717185463145
82432 80.5 0.00127157311117479
82944 81 0.00127142582291121
83456 81.5 0.00127127845446412
83968 82 0.00127113944890558
84480 82.5 0.00127101351359966
84992 83 0.00127089454019115
85504 83.5 0.00127077614109677
86016 84 0.00127066100669256
86528 84.5 0.00127055493823333
87040 85 0.00127045889940512
