# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
165888 162 0.00119769466417418
166400 162.5 0.00119488423174666
166912 163 0.00119200735551942
167424 163.5 0.00118906422394068
167936 164 0.00118605548265807
168448 164.5 0.00118298156230949
168960 165 0.00117984240433769
169472 165.5 0.0011766379240214
169984 166 0.00117336848058589
170496 166.5 0.00117003466160154
171008 167 0.00116663613115694
171520 167.5 0.00116315564901265
172032 168 0.00115956574494678
172544 168.5 0.00115586700568383
173056 169 0.00115206405200009
173568 169.5 0.00114816432404258
174080 170 0.00114417562071197
174592 170.5 0.00114010407007537
175104 171 0.00113595314813717
175616 171.5 0.00113172669624205
176128 172 0.00112742993964972
176640 172.5 0.00112307003734153
177152 173 0.00111865561615047
177664 173.5 0.00111419594694912
178176 174 0.00110970033114093
178688 174.5 0.00110517815445252
179200 175 0.0011006391736706
179712 175.5 0.00109609325060263
180224 176 0.00109154948626251
180736 176.5 0.00108701556911876
181248 177 0.00108249799175934
181760 177.5 0.00107800263942067
182272 178 0.00107353483143636
182784 178.5 0.00106909887548189
183296 179 0.00106469794400888
183808 179.5 0.00106033442120381
184320 180 0.00105601008277631
184832 180.5 0.00105172596776754
185344 181 0.00104748256598144
185856 181.5 0.00104328025043802
186368 182 0.00103911934294799
186880 182.5 0.00103499962139352
187392 183 0.00103091999136072
187904 183.5 0.001026878948693
188416 184 0.00102287528866479
188928 184.5 0.00101890812807351
189440 185 0.00101497631456869
189952 185.5 0.00101107813111824
190464 186 0.00100721167110739
190976 186.5 0.00100337533865694
191488 187 0.000999567941315159
192000 187.5 0.000995788489593678
192512 188 0.000992036016716988
193024 188.5 0.000988309505192806
193536 189 0.000984607976685858
194048 189.5 0.000980930777377113
194560 190 0.000977277770468929
195072 190.5 0.000973649122118195
195584 191 0.000970044962730839
196096 191.5 0.000966465462717758
196608 192 0.000962911190266136
197120 192.5 0.0009593831412096
197632 193 0.000955882439826271
198144 193.5 0.000952410329128455
198656 194 0.000948968614795421
199168 194.5 0.000945559764195114
199680 195 0.000942186361601313
200192 195.5 0.000938850769507826
200704 196 0.000935555351307124
201216 196.5 0.000932302723893791
201728 197 0.000929095557979996
202240 197.5 0.000925936209665327
202752 198 0.000922826656075801
203264 198.5 0.0009197686847043
203776 199 0.000916764009796905
204288 199.5 0.000913814261551604
204800 200 0.000910921020806724
205312 200.5 0.000908085907331156
205824 201 0.000905310560880863
206336 201.5 0.000902596533459994
206848 202 0.000899945327032082
207360 202.5 0.000897358598006775
207872 203 0.000894838195151706
208384 203.5 0.000892385900625043
208896 204 0.000890003241632331
209408 204.5 0.000887691612420759
209920 205 0.000885452309981254
210432 205.5 0.000883285544163056
210944 206 0.000881190680591437
211456 206.5 0.000879167156742125
211968 207 0.000877214590167192
212480 207.5 0.000875332486039345
212992 208 0.000873516562258314
213504 208.5 0.000871753176892231
214016 209 0.000870041003965165
214528 209.5 0.000868380330250911
215040 210 0.000866771296007153
215552 210.5 0.000865213922041498
216064 211 0.000863708671730585
216576 211.5 0.000862256329288068
217088 212 0.000860857683650889
217600 212.5 0.000859513293292453
218112 213 0.000858223392717516
218624 213.5 0.000856987824469015
219136 214 0.000855806486730842
219648 214.5 0.00085467934916712
220160 215 0.000853606339942023
220672 215.5 0.000852587345523483
221184 216 0.000851631925671979
221696 216.5 0.00085078211190558
222208 217 0.000850041046276916
222720 217.5 0.000849405625132344
223232 218 0.000848871740197326
223744 218.5 0.000848434415975981
224256 219 0.000848088724302099
224768 219.5 0.000847832267588349
225280 220 0.000847662662598301
225792 220.5 0.000847577037877615
226304 221 0.000847572138241231
226816 221.5 0.000847644160583472
227328 222 0.000847788632533177
227840 222.5 0.000848000724234796
228352 223 0.000848275830633504
228864 223.5 0.000848609795339383
229376 224 0.000848998624493622
229888 224.5 0.000849438290458706
230400 225 0.000849925008281344
230912 225.5 0.000850455662013838
231424 226 0.000851027890520072
231936 226.5 0.000851639878625316
232448 227 0.000852290228011308
232960 227.5 0.000852978027934425
233472 228 0.000853702950444577
233984 228.5 0.000854465228465658
234496 229 0.000855265547642154
235008 229.5 0.000856104937683294
235520 230 0.000856984636883332
236032 230.5 0.000857904605843751
236544 231 0.000858805737324856
237056 231.5 0.000859654080201677
237568 232 0.000860464227847519
238080 232.5 0.000861253589685769
238592 233 0.000862041274942202
239104 233.5 0.000862847192196419
239616 234 0.000863691285970244
240128 234.5 0.000864592694624558
240640 235 0.000865568814596923
241152 235.5 0.000866634400268199
241664 236 0.00086780074614697
242176 236.5 0.000869074988458736
242688 237 0.000870459764955817
243200 237.5 0.00087195344020809
243712 238 0.000873550712987066
244224 238.5 0.000875243256963833
244736 239 0.00087702036619379
245248 239.5 0.000878869837555447
245760 240 0.000880779117327797
246272 240.5 0.000882736462271978
246784 241 0.000884731850707806
247296 241.5 0.000886757586552528
247808 242 0.00088881684241528
248320 242.5 0.000890921748828727
248832 243 0.000893071034862269
249344 243.5 0.000895263981786383
249856 244 0.000897500703135497
250368 244.5 0.000899781997845438
250880 245 0.00090210921789873
251392 245.5 0.000904481026978309
251904 246 0.000906892924917259
252416 246.5 0.000909350108027242
252928 247 0.000911858195500872
253440 247.5 0.000914422601100613
253952 248 0.000917047952382124
254464 248.5 0.000919738039923375
254976 249 0.000922495848402917
255488 249.5 0.000925323494257013
256000 250 0.000928222211954487
256512 250.5 0.000931192368432487
257024 251 0.000934233641413632
257536 251.5 0.000937344465076408
258048 252 0.000940521969674959
258560 252.5 0.000943762301839532
259072 253 0.000947060907192112
259584 253.5 0.000950412705511184
260096 254 0.000953812286287023
260608 254.5 0.000957254237287446
261120 255 0.000960733517738266
261632 255.5 0.000964245708225083
262144 256 0.000967787097298252
262656 256.5 0.000971354704462732
263168 257 0.000974946325247415
263680 257.5 0.000978560565921359
264192 258 0.000982196779026327
264704 258.5 0.000985854893436815
265216 259 0.000989535228036725
265728 259.5 0.000993238354833467
266240 260 0.00099696497137767
266752 260.5 0.00100071572466979
267264 261 0.00100449102801081
267776 261.5 0.00100829094850638
268288 262 0.00101211515508645
268800 262.5 0.00101596285626803
269312 263 0.00101983271157114
269824 263.5 0.00102372277984239
270336 264 0.00102763056282338
270848 264.5 0.00103155312741883
271360 265 0.00103548722032368
271872 265.5 0.00103942931131579
